Source,Target,Type,Id,Weight
"Allison, Madeline G.","Johnson, Georgia Douglas",Undirected,5920,3
"Wilkinson, Hilda Rue","Bentley, Florence Lewis",Undirected,6065,2
"Wilkinson, Hilda Rue","Fauset, Jessie",Undirected,6062,2
"Cloud, F. H.","Spingarn, J. E.",Undirected,6229,2
Underwood &amp; Underwood,"Fauset, Jessie",Undirected,6277,3
"Fauset, Jessie","Cotter, Joseph S.",Undirected,6397,3
"Fauset, Jessie","Wilkinson, Hilda",Undirected,6395,2
"Fauset, Jessie","Francique, John",Undirected,6374,2
"Fauset, Jessie","Clifford, Carrie W.",Undirected,6363,2
"Fauset, Jessie","Canfield, Dorothy",Undirected,6337,2
"Fauset, Jessie","Wheeler, Laura",Undirected,6333,9
"Fauset, Jessie","Newsome, Effie Lee",Undirected,6321,4
"Fauset, Jessie",Scurlock,Undirected,6320,2
"Fauset, Jessie","Lee, Mary Effie",Undirected,6316,2
"Fauset, Jessie","Johnson, Georgia Douglas",Undirected,6311,3
"Fauset, Jessie","Dickerman, G. S.",Undirected,6310,2
"Canfield, Dorothy","Wheeler, Laura",Undirected,6598,2
"Cotter, Joseph S.","Wheeler, Laura",Undirected,6824,2
"Saunders, Vincent","Wheeler, Laura",Undirected,6863,2
"Saunders, Vincent","Johnson, Georgia Douglas",Undirected,6854,2
"Johnson, Georgia Douglas","White, Walter F.",Undirected,7007,2
"Johnson, G. Douglas",Scurlock,Undirected,7081,2
"Johnson, G. Douglas","Spingarn, J. E.",Undirected,7077,3
"Lee, Mary Effie","Wheeler, Laura",Undirected,7102,2
"Lee, Mary Effie",Scurlock,Undirected,7100,2
