Id,Label
SERGEY KISLYAK,SERGEY KISLYAK
MICHAEL FLYNN,MICHAEL FLYNN
REX TILLERSON,REX TILLERSON
IGOR SECHIN,IGOR SECHIN
ALEXANDER NOVAK,ALEXANDER NOVAK
ARAS AGALAROV,ARAS AGALAROV
EMIN AGALAROV,EMIN AGALAROV
CHRISTINE CICCONE,CHRISTINE CICCONE
NEWT GINGRICH,NEWT GINGRICH
CARTER PAGE,CARTER PAGE
RICK SNYDER,RICK SNYDER
CARL C. ICAHN,CARL C. ICAHN
ELENA GORLOVA,ELENA GORLOVA
CHRIS CHRISTIE,CHRIS CHRISTIE
BILL MCGINLEY,BILL MCGINLEY
JASON D. MEISTER,JASON D. MEISTER
TIMOTHY PATAKI,TIMOTHY PATAKI
RICK DEARBORN,RICK DEARBORN
BEN HOWARD,BEN HOWARD
RAJ SHAH,RAJ SHAH
JAMIE DIMON,JAMIE DIMON
UTTAM DHILLON,UTTAM DHILLON
THOMAS PYLE,THOMAS PYLE
JOHN EISENBERG,JOHN EISENBERG
MICHAEL J. ELLIS,MICHAEL J. ELLIS
BRIAN BURNS,BRIAN BURNS
EDWIN MEESE,EDWIN MEESE
ANDELIZ CASTILLO,ANDELIZ CASTILLO
SAM NUNBERG,SAM NUNBERG
JENNIFER KORN,JENNIFER KORN
MICHAEL POMPEO,MICHAEL POMPEO
COREY LEWANDOWSKI,COREY LEWANDOWSKI
TOM BOSSERT,TOM BOSSERT
CURTIS DUBAY,CURTIS DUBAY
DINA POWELL,DINA POWELL
JOHN F. KELLY,JOHN F. KELLY
LINDA MCMAHON,LINDA MCMAHON
EDWIN FEULNER,EDWIN FEULNER
CHRISTOPHER RUDDY,CHRISTOPHER RUDDY
ELON MUSK,ELON MUSK
PHIL RUFFIN,PHIL RUFFIN
ASHLEY MARQUIS,ASHLEY MARQUIS
JOYCE MEYER,JOYCE MEYER
TRAVIS KALANICK,TRAVIS KALANICK
MICHAEL FASCITELLI,MICHAEL FASCITELLI
SAM CLOVIS,SAM CLOVIS
PRINCE ALWALEED BIN TALALTHE,PRINCE ALWALEED BIN TALALTHE
ALEXANDER ACOSTA,ALEXANDER ACOSTA
RYAN ZINKE,RYAN ZINKE
STEPHEN MILLER,STEPHEN MILLER
MELANIA TRUMP,MELANIA TRUMP
STEPHEN B. MEISTER,STEPHEN B. MEISTER
KATHRYN TALENTO,KATHRYN TALENTO
INDRA NOOYI,INDRA NOOYI
MARC E. KASOWITZ,MARC E. KASOWITZ
CLIFF SIMS,CLIFF SIMS
SHAHIRA KNIGHT,SHAHIRA KNIGHT
JASON D. GREENBLATT,JASON D. GREENBLATT
ALEXANDER ANGELSON,ALEXANDER ANGELSON
HELEN FERRE,HELEN FERRE
JOHN MCENTEE,JOHN MCENTEE
OLEG MISERVA,OLEG MISERVA
DAN COATS,DAN COATS
MIKE BASELICE,MIKE BASELICE
VICTOR PINCHUK,VICTOR PINCHUK
ADO MACHIDA,ADO MACHIDA
ERIC UELAND,ERIC UELAND
AJIT PAI,AJIT PAI
