Id,Label
"Sarett, Lew","Sarett, Lew"
"Bell, Clive","Bell, Clive"
"Zwaska, Charles","Zwaska, Charles"
"Monroe, Harriet","Monroe, Harriet"
Sasaki,Sasaki
"Roberts, Elizabeth Madox","Roberts, Elizabeth Madox"
"Aiken, Conrad","Aiken, Conrad"
"Upward, Allen","Upward, Allen"
"Eliot, T. S.","Eliot, T. S."
"Holley, Horace","Holley, Horace"
"Sanders, Emmy Veronica","Sanders, Emmy Veronica"
"Brody, Alter","Brody, Alter"
"Barry, Iris","Barry, Iris"
"Roe, Robert J.","Roe, Robert J."
"Patterson, Antoinette DeCoursey","Patterson, Antoinette DeCoursey"
"York, Virginia","York, Virginia"
"Rosenthal, A. A.","Rosenthal, A. A."
"Carr, Daphne","Carr, Daphne"
"Starbuck, Victor","Starbuck, Victor"
"Fitch, Anita","Fitch, Anita"
"Frost, Robert","Frost, Robert"
"Dean, Harriet","Dean, Harriet"
"Moore, Marianne","Moore, Marianne"
"Syrian, Ajan","Syrian, Ajan"
"Kilmer, Joyce","Kilmer, Joyce"
"Flexner, Hortense","Flexner, Hortense"
"Stein, Gertrude","Stein, Gertrude"
S. H. G.,S. H. G.
"Long, Lily A.","Long, Lily A."
"Greenhood, David","Greenhood, David"
"Selva, Salomón de la","Selva, Salomón de la"
"Yeats, William Butler","Yeats, William Butler"
"Browne, Maurice","Browne, Maurice"
"Barnes, Alfred C.","Barnes, Alfred C."
"O'Brien, Edward J.","O'Brien, Edward J."
"Lawrence, D. H.","Lawrence, D. H."
"Zaturensky, Marya","Zaturensky, Marya"
"Crane, Hart","Crane, Hart"
"McCluskey, Katherine Wisner","McCluskey, Katherine Wisner"
"Sabel, Marx G.","Sabel, Marx G."
"Butts, Mary","Butts, Mary"
"Lampman, Rex H.","Lampman, Rex H."
"Shaw, Frances","Shaw, Frances"
"Goldring, Douglas","Goldring, Douglas"
"Roth, Samuel","Roth, Samuel"
"Scollard, Clinton","Scollard, Clinton"
"Jesson, Frederick Shea","Jesson, Frederick Shea"
M. A. S.,M. A. S.
"Bishop, Morris","Bishop, Morris"
"Ficke, Arthur Davison","Ficke, Arthur Davison"
"DeFord, Miriam Allen","DeFord, Miriam Allen"
"Bynner, Witter","Bynner, Witter"
"Untermeyer, Jean Starr","Untermeyer, Jean Starr"
"Nelson, Ernest W.","Nelson, Ernest W."
"Stork, Charles Wharton","Stork, Charles Wharton"
"Bellamann, Henry","Bellamann, Henry"
"Dismorr, Jessie","Dismorr, Jessie"
"Saphier, William","Saphier, William"
"Hoyt, Helen","Hoyt, Helen"
"Boogher, Susan M.","Boogher, Susan M."
"Sanborn, Robert Alden","Sanborn, Robert Alden"
"Snow, Royall","Snow, Royall"
"Bodenheim, Maxwell","Bodenheim, Maxwell"
"Wilde, Oscar","Wilde, Oscar"
"Teasdale, Sara","Teasdale, Sara"
"Michelson, Max","Michelson, Max"
"Wyatt, Edith","Wyatt, Edith"
"Dhone, Illiam","Dhone, Illiam"
"Sanders, Abel","Sanders, Abel"
"Wells, H. G.","Wells, H. G."
"Mackaye, Arvia","Mackaye, Arvia"
"Laforgue, Jules","Laforgue, Jules"
"Kohen, Esther","Kohen, Esther"
"Colum, Padraic","Colum, Padraic"
"Symons, Arthur","Symons, Arthur"
E. P.,E. P.
"De Gourmont, Remy","De Gourmont, Remy"
"Marks, Jeannette","Marks, Jeannette"
"Updegraff, Allan","Updegraff, Allan"
"Walton, Eda Lou","Walton, Eda Lou"
"Benét, William Rose","Benét, William Rose"
"Foster, George Burman","Foster, George Burman"
"Brownell, Baker","Brownell, Baker"
"Lee, Agnes","Lee, Agnes"
"Tzara, Tristan","Tzara, Tristan"
"Wattles, Willard","Wattles, Willard"
"Weaver, John V. A.","Weaver, John V. A."
"Johns, Orrick","Johns, Orrick"
"Comfort, Will Levington","Comfort, Will Levington"
"Golden, Sue","Golden, Sue"
"Goldman, Emma","Goldman, Emma"
"Arnold, Matthew","Arnold, Matthew"
"Gaudier-Brzeska, Henri","Gaudier-Brzeska, Henri"
"Davis, F. Guy","Davis, F. Guy"
"Nicholl, Louise Townsend","Nicholl, Louise Townsend"
"Waldron, Winifred","Waldron, Winifred"
"Rimbaud, Arthur","Rimbaud, Arthur"
"Henderson, Alice C.","Henderson, Alice C."
